"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034620","cellular response to unfolded protein","11/720","99/18986",0.111111111111111,2.92993827160494,3.82234028740406,0.00131362440566253,0.0137849139594215,0.0104250009923066,"FGF21/ATF3/DNAJB9/HERPUD1/PPP1R15B/PPP1R15A/HSPA1A/HSPA5/BAG3/TMBIM6/TMBIM4",11
"GO:0015718","monocarboxylic acid transport","16/720","179/18986",0.0893854748603352,2.35704531346989,3.62168709040359,0.00132707595383336,0.0138973582876693,0.0105100383191274,"PLA2G2A/SLC22A1/SLC22A7/NR0B2/ANXA1/FABP1/CYP4A11/CROT/SLC10A1/CPT1A/ABCB4/MPC1/IRS2/RBP5/ABCD3/CEACAM1",16
"GO:0050830","defense response to Gram-positive bacterium","13/720","130/18986",0.1,2.63694444444444,3.71818208505553,0.00133814318309551,0.0139844222776586,0.0105758814709021,"HAMP/PLA2G2A/CRP/PGLYRP2/RNASE4/ANG/IL7R/MBL2/APP/HLA-E/RARRES2/HLA-A/B2M",13
"GO:0042573","retinoic acid metabolic process","6/720","33/18986",0.181818181818182,4.79444444444444,4.33127750138857,0.00134336995885267,0.0139901308550502,0.0105801986487349,"CYP3A7/CYP2C8/CYP3A4/RDH10/ALDH8A1/CYP3A5",6
"GO:0070661","leukocyte proliferation","25/720","341/18986",0.0733137829912024,1.93324372759857,3.45255732062762,0.00134419843616155,0.0139901308550502,0.0105801986487349,"CLEC4G/IGF1/CRP/CDKN1A/PELI1/ANXA1/LGALS3/IL7R/JUNB/CCL5/PTPRC/GSTP1/FYN/CLU/NFKBIZ/SDC4/FOSL2/LST1/CD46/STAT6/IRS2/HLA-E/TNFAIP3/CD151/HLA-A",25
"GO:0071322","cellular response to carbohydrate stimulus","15/720","163/18986",0.0920245398773006,2.42663599182004,3.6317201846038,0.00138717685456136,0.0144079166550453,0.0108961540034321,"SRI/FGF21/FBP1/ICAM1/GPLD1/CPB2/SLC39A14/LRP5/PCK1/IRS2/SLC29A1/FOXO3/TRA2B/ZFP36L1/DYNLL1",15
"GO:0002437","inflammatory response to antigenic stimulus","10/720","85/18986",0.117647058823529,3.10228758169935,3.85663926913499,0.00139035230863514,0.0144114272970569,0.0108988089671528,"IGHG1/C3/KDM6B/FURIN/IL1RN/FYN/FOSL2/GNAS/A2M/HLA-E",10
"GO:0045926","negative regulation of growth","19/720","232/18986",0.0818965517241379,2.15956657088123,3.52811347964253,0.00140432365087403,0.0145265984170859,0.0109859084618701,"GPC3/CDKN1A/FBP1/RGS2/CDH1/MT1F/TSPYL2/MT1E/MT2A/CITED2/SERTAD2/IFRD1/GNAS/HSPA1B/HRG/BTG1/HSPA1A/PTEN/RTN4",19
"GO:0030574","collagen catabolic process","7/720","45/18986",0.155555555555556,4.10191358024691,4.13603610563098,0.00141535142071865,0.0145517608620041,0.0110049378525513,"FURIN/TMPRSS6/CTSS/MMP15/CTSL/ITGB1/CTSB",7
"GO:0042554","superoxide anion generation","7/720","45/18986",0.155555555555556,4.10191358024691,4.13603610563098,0.00141535142071865,0.0145517608620041,0.0110049378525513,"CRP/EGFR/CYBA/GSTP1/PON3/APP/AGT",7
"GO:0055090","acylglycerol homeostasis","7/720","45/18986",0.155555555555556,4.10191358024691,4.13603610563098,0.00141535142071865,0.0145517608620041,0.0110049378525513,"ANGPTL8/APOC3/APOC2/APOA1/APOA5/PNPLA2/DGAT2",7
"GO:0043542","endothelial cell migration","22/720","287/18986",0.0766550522648084,2.02135114208285,3.46143881001646,0.00145693721213089,0.0149490587887127,0.0113053990155569,"S100P/KLF4/ANXA1/RGCC/NR4A1/TMSB4X/GPLD1/ATP2B4/ID1/APOA1/HRG/RHOB/CEACAM1/VEGFA/PRCP/BSG/MYH9/PROX1/AGT/ITGB1/PLG/CALR",22
"GO:0051017","actin filament bundle assembly","15/720","164/18986",0.0914634146341463,2.41183943089431,3.60515688683396,0.00147478301972455,0.0150637284811782,0.0113921192998662,"RGCC/VIL1/SORBS3/NEDD9/LCP1/SYNPO/SERPINF2/F11R/SDC4/EZR/APOA1/ESPN/MYO1B/PFN1/HSP90B1",15
"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","8/720","58/18986",0.137931034482759,3.63716475095785,3.99345428899386,0.00147496367573454,0.0150637284811782,0.0113921192998662,"G0S2/ATF3/PTPRC/SKIL/APP/PPP2R1B/TNFSF10/AGT",8
