"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.5879872607245e-292,1.46416242216817,0.963,0.472,9.4975924284258e-288,"0","DECR1"
4.67638430841817e-291,1.30469613694269,0.997,0.662,9.68058315685644e-287,"0","SNHG25"
1.39149311191129e-290,1.88487741721116,0.825,0.315,2.88052989096757e-286,"0","F10"
3.88911499117689e-289,2.42959322327721,0.636,0.158,8.05085694323529e-285,"0","BBOX1"
7.98877178160455e-288,1.34720182005934,0.993,0.535,1.65375564650996e-283,"0","ATP5G1"
8.30750799674046e-288,1.31803784420881,0.986,0.553,1.71973723040524e-283,"0","MPC2"
1.58732716406752e-287,1.47077264078238,0.951,0.447,3.28592596233617e-283,"0","CISD3"
2.63038060598227e-285,1.72138314788071,0.863,0.351,5.44515089244389e-281,"0","SERPIND1"
3.91269321623888e-285,1.36091314663382,0.992,0.509,8.09966622693611e-281,"0","PHB"
6.32008715404236e-285,2.15352770531198,0.716,0.213,1.30832124175831e-280,"0","RP11-798K3.2"
9.19640542963285e-285,1.39734925751528,0.988,0.461,1.9037478879883e-280,"0","STRA13"
7.24308620617528e-284,1.46369817734642,0.943,0.41,1.49939127554034e-279,"0","ADH5"
1.56609309653633e-283,1.24836681589969,0.993,0.623,3.24196931913986e-279,"0","SPCS1"
1.38520544440861e-281,1.67741871136962,0.874,0.356,2.86751379047027e-277,"0","ALDH3A2"
3.34034135106627e-279,1.21999137132295,0.997,0.614,6.91484063084228e-275,"0","PSMB3"
8.98459437216432e-279,1.69558095655872,0.844,0.317,1.85990088098174e-274,"0","ALDH7A1"
4.47482620659819e-275,1.32363445742468,0.991,0.56,9.26333773027892e-271,"0","FGA"
1.30649584586864e-274,1.87652174470921,0.773,0.254,2.70457705053268e-270,"0","ADH6"
3.92181268529991e-274,1.24658849649782,0.993,0.586,8.11854443983934e-270,"0","ANAPC11"
1.9417154449074e-272,1.04826764362532,1,0.769,4.01954514250282e-268,"0","PRDX1"
7.93533046675175e-272,0.72987689976168,1,0.993,1.64269275992228e-267,"0","RPL8"
4.83817921875633e-271,1.86842953057685,0.806,0.311,1.00155148007475e-266,"0","CYP2C9"
5.93809159653654e-271,1.77326229124177,0.777,0.282,1.22924434139903e-266,"0","BHMT2"
7.38409617762002e-270,1.41360167540406,0.962,0.435,1.52858174972912e-265,"0","MRPL12"
1.64452789788188e-269,1.50394099552856,0.908,0.398,3.40433720140527e-265,"0","CYP27A1"
4.71433568924141e-269,1.71799947604587,0.792,0.269,9.75914631029865e-265,"0","GOLT1A"
2.85064402576068e-267,0.58298952668603,1,0.944,5.90111819772719e-263,"0","APOC3"
4.70844920730901e-267,1.70148928629393,0.939,0.472,9.74696070405037e-263,"0","IGFBP1"
1.19733435837359e-266,1.49621498159937,0.881,0.382,2.47860185526916e-262,"0","SERPINF1"
4.57552415525049e-266,1.26887174056393,0.977,0.542,9.47179255378405e-262,"0","TMEM176B"
1.96380743275344e-265,1.30503966006417,0.958,0.487,4.06527776654289e-261,"0","AGT"
3.4559167200637e-264,1.3526725107224,0.949,0.465,7.15409320220387e-260,"0","MPST"
4.2322631378606e-264,1.52136912560123,0.898,0.35,8.76120792168523e-260,"0","TATDN1"
2.08111815714891e-263,1.43876440569333,0.967,0.411,4.30812269711396e-259,"0","UBD"
1.21557171002608e-261,1.85824113640994,0.755,0.244,2.51635499692499e-257,"0","TOM1L1"
3.89698827537037e-261,1.92735471177142,0.727,0.233,8.06715542884421e-257,"0","GCAT"
1.38021793464952e-259,1.24536325121194,0.988,0.503,2.85718914651797e-255,"0","KRT18"
3.69812198433674e-259,1.38249901173616,0.951,0.463,7.65548231977548e-255,"0","SPON2"
2.09369524915402e-258,1.30535426035239,0.966,0.495,4.33415853527374e-254,"0","PSMD4"
3.09757147721384e-258,2.15556154492632,0.644,0.181,6.41228271498037e-254,"0","CYP4F2"
4.84887010592895e-258,1.28395978520802,0.991,0.554,1.00376460062835e-253,"0","NUPR1"
1.1980627764671e-257,1.45845749338925,0.867,0.363,2.48010975356454e-253,"0","PAH"
1.67714203605611e-257,0.863613053268574,0.868,0.333,3.47185172883974e-253,"0","CFHR2"
2.09289929081647e-257,1.24117094872212,0.989,0.59,4.33251082191918e-253,"0","ATP5H"
1.56592625996481e-256,2.26083623365064,0.636,0.18,3.24162395075316e-252,"0","ACSM1"
2.36132283538915e-256,1.72586916280169,0.724,0.224,4.88817440153908e-252,"0","HIST1H2AC"
1.65427732516594e-254,1.70518587037688,0.789,0.288,3.42451949082602e-250,"0","MSMO1"
5.66242530771438e-254,1.86716575729011,0.75,0.255,1.17217866294995e-249,"0","METTL7B"
1.67524694146438e-253,0.968332156068803,0.992,0.703,3.46792869352542e-249,"0","VTN"
4.07085084417749e-252,1.65236046680854,0.841,0.32,8.42706833253181e-248,"0","LBP"
1.57769024458007e-250,1.034654542236,0.976,0.595,3.26597657530521e-246,"0","GC"
3.59124141098218e-249,1.12835952370011,0.991,0.633,7.43422884487421e-245,"0","NDUFA2"
1.03696174824831e-247,1.62011414315218,0.801,0.306,2.14661451504883e-243,"0","FMO5"
7.50991007226676e-247,1.23116441090567,0.974,0.55,1.55462648405994e-242,"0","ETFB"
1.29710815769372e-246,1.63768440730133,0.801,0.309,2.68514359724177e-242,"0","ALAS1"
2.0223758900971e-246,0.994340749355087,0.997,0.642,4.18652033009e-242,"0","RARRES2"
3.39926485959686e-246,1.31338669292166,0.949,0.454,7.03681818585146e-242,"0","MIEN1"
3.62590688538231e-245,1.04625560695241,1,0.768,7.50598984342992e-241,"0","TXN"
6.28608298955541e-245,1.25399351389864,0.973,0.515,1.30128203966787e-240,"0","CYC1"
1.02340230618862e-244,1.46107885061059,0.904,0.422,2.11854511404106e-240,"0","PLG"
2.01930802856169e-244,1.03709707129084,0.992,0.667,4.18016954992555e-240,"0","CUTA"
2.51268397767905e-244,1.39204235707916,0.896,0.39,5.20150710219341e-240,"0","RAMP1"
3.74961869427002e-244,1.53811757560009,0.833,0.312,7.76208565900837e-240,"0","TCEA3"
1.30138215541315e-242,2.16336412033482,0.597,0.162,2.69399119992076e-238,"0","NAGS"
6.6527325486557e-241,2.01273183225687,0.636,0.176,1.37718216489722e-236,"0","MAGEC2"
3.38490257566085e-239,1.34051420323501,0.897,0.41,7.00708682187552e-235,"0","SEC11C"
7.09969402196345e-239,1.6538014884383,0.756,0.271,1.46970765948665e-234,"0","MTTP"
1.08107443650281e-238,1.1206854431367,0.982,0.607,2.23793219100446e-234,"0","NDUFB7"
1.95556973321613e-237,1.70021213886137,0.741,0.244,4.0482249047307e-233,"0","STEAP1"
2.07556258389485e-237,0.650956181666495,0.997,0.873,4.29662210492074e-233,"0","TTR"
2.40666888644432e-237,1.77318513091629,0.71,0.219,4.9820452618284e-233,"0","MINCR"
5.15701179937915e-237,1.08319945791401,0.997,0.684,1.06755301258948e-232,"0","ENO1"
6.81201327433964e-236,1.1471458334162,0.977,0.576,1.41015486792105e-231,"0","VPS28"
1.62069514046065e-235,0.643887872656799,1,0.996,3.3550010102676e-231,"0","RPL19"
3.39431379543456e-235,1.87679399385282,0.676,0.21,7.02656898792908e-231,"0","ARSE"
6.27882260292219e-235,1.77484128717725,0.681,0.223,1.29977906703092e-230,"0","NR1I3"
9.60853546454436e-235,1.6795114692206,0.736,0.227,1.98906292651533e-230,"0","GAGE1"
2.67747798389839e-234,1.73221087543366,0.726,0.247,5.54264717446807e-230,"0","SLC25A18"
1.33304268013532e-233,1.18720044388196,0.963,0.548,2.75953165214813e-229,"0","LMAN2"
2.08591464049223e-233,2.34205955459003,0.545,0.134,4.31805189728297e-229,"0","RP13-650J16.1"
1.08216267186683e-231,2.07092395037064,0.609,0.169,2.24018494703153e-227,"0","RP11-706C16.7"
2.31420605182561e-231,1.42863818660348,0.866,0.389,4.7906379478842e-227,"0","SULT1A1"
1.18025072271846e-230,1.52468405968911,0.742,0.247,2.44323702109948e-226,"0","SEPT4"
1.49455394401604e-229,1.0352535545091,0.993,0.682,3.0938761195076e-225,"0","C19orf53"
3.96252883281886e-229,2.18224820338942,0.592,0.16,8.20283093681831e-225,"0","TFF2"
4.22316520760697e-229,1.26174853104357,0.939,0.469,8.74237429626719e-225,"0","PUF60"
7.5030584030027e-229,1.84027938088095,0.645,0.194,1.55320812000559e-224,"0","OTC"
5.0140494727602e-227,1.59648997601797,0.759,0.278,1.03795838135609e-222,"0","FMO3"
7.75322427083023e-226,1.5038664545871,0.791,0.29,1.60499495630457e-221,"0","CLDN3"
1.62341534380067e-223,1.0956385893893,0.98,0.615,3.36063210320177e-219,"0","NDUFB9"
1.90211622273286e-223,1.37624806540157,0.869,0.42,3.93757079267929e-219,"0","ACAA1"
5.14853015409855e-222,0.788119707921128,0.925,0.413,1.06579722719994e-217,"0","ADIRF"
5.15311964744025e-222,1.29404312355846,0.926,0.448,1.06674729821661e-217,"0","SLC9A3R1"
1.19565660919035e-221,1.71594335550533,0.703,0.23,2.47512874668494e-217,"0","SMLR1"
2.46786055221165e-221,1.26129987017166,0.873,0.36,5.10871812913333e-217,"0","GDF15"
3.89808506757907e-221,1.16713052568888,0.974,0.527,8.06942589839543e-217,"0","TALDO1"
3.99619821146965e-221,1.76333421961606,0.702,0.239,8.27252991756333e-217,"0","DPYS"
5.2924951306971e-220,1.44566958725074,0.842,0.327,1.09559941700561e-215,"0","ALG3"
6.37535820601979e-220,1.84021625389435,0.667,0.219,1.31976290222816e-215,"0","PDZK1"
8.52776724038774e-220,1.39041039466657,0.845,0.333,1.76533309643266e-215,"0","VPS25"
1.85403887401389e-219,1.55212123617741,0.783,0.323,3.83804587309615e-215,"0","ACSM2B"
1.88963150169486e-218,1.47262020437389,0.79,0.295,3.91172617165852e-214,"0","AK4"
1.16028511090038e-217,1.00692246505578,0.99,0.674,2.40190620807487e-213,"0","EIF3H"
2.37891917348856e-217,2.2072458369365,0.531,0.135,4.92460058103867e-213,"0","RP11-119D9.1"
3.81581440395046e-217,1.14088875489955,0.918,0.421,7.89911739761785e-213,"0","C10orf10"
6.53236785727432e-217,1.20259768022016,0.977,0.494,1.35226547013436e-212,"0","NHP2"
1.41591939815453e-216,1.24776349609545,0.904,0.414,2.93109474611969e-212,"0","ITIH1"
1.61537161993503e-216,1.99573389711357,0.582,0.165,3.34398079042751e-212,"0","FETUB"
2.28438815399251e-216,1.26110112769592,0.921,0.438,4.72891191757989e-212,"0","DUSP23"
2.70828387381835e-216,0.274999546833167,1,0.998,5.60641844719136e-212,"0","ALB"
3.26830943682267e-216,1.28886551891122,0.883,0.408,6.76572736516661e-212,"0","YIF1A"
6.67313147568044e-216,1.46061916708655,0.782,0.298,1.38140494678061e-211,"0","EMC2"
6.25606385520555e-215,1.51022495563809,0.787,0.328,1.2950677786661e-210,"0","SLC27A5"
1.47205025713447e-214,1.34001923566861,0.844,0.342,3.04729123729406e-210,"0","NIT2"
1.84587602539436e-213,1.2249453351475,0.928,0.458,3.82114796016886e-209,"0","NDUFS4"
4.74755812819408e-213,0.793669162025243,0.999,0.821,9.82792008117457e-209,"0","COX7A2"
1.02039850742958e-212,1.75623917606304,0.62,0.192,2.11232695022998e-208,"0","SEC14L2"
1.18800742816464e-212,1.47629402962731,0.746,0.258,2.45929417704363e-208,"0","TMEM199"
1.38360809458494e-212,1.33868282855193,0.872,0.402,2.86420711660028e-208,"0","MPLKIP"
3.99393256301259e-212,1.55530057955242,0.738,0.273,8.26783979869236e-208,"0","PCYT2"
4.59725678362941e-212,1.78786617884545,0.637,0.202,9.51678126779125e-208,"0","HFE2"
4.94898090149633e-212,1.668427402378,0.681,0.229,1.02448853641876e-207,"0","UPB1"
5.09425620572255e-212,1.55511553432176,0.728,0.251,1.05456197714663e-207,"0","TACO1"
1.38343816648146e-211,1.32137272342289,0.864,0.352,2.86385534843327e-207,"0","POLDIP2"
2.37660183343327e-211,1.32122292828298,0.861,0.378,4.9198034553902e-207,"0","QPRT"
6.03253965872897e-211,0.623115446233561,1,0.988,1.24879603475348e-206,"0","RPL38"
7.75027669090569e-211,1.22531430179759,0.921,0.417,1.60438477778439e-206,"0","MRPL27"
3.83649210695034e-210,1.11305447250025,0.957,0.519,7.9419223105979e-206,"0","ECHS1"
